受賞作,著者,賞タイトル,著者__受賞・最終候補作,ISBN10,calil,ImageURL
破門,黒川博行,直木賞,黒川博行__破門,4041106842,https://calil.jp/book/4041106842,https://images-na.ssl-images-amazon.com/images/P/4041106842.09.LZZZZZZZ
硫黄島,菊村到,芥川賞,菊村到__硫黄島,4093524009,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
確証,小谷剛,芥川賞,小谷剛__確証,,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
祭りの場,林京子,芥川賞,林京子__祭りの場,4061127837,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
私が殺した少女,原【りょう】,直木賞,原【りょう】__私が殺した少女,4152034165,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
私の男,桜庭一樹,直木賞,桜庭一樹__私の男,4163264302,https://calil.jp/book/4163264302,https://images-na.ssl-images-amazon.com/images/P/4163264302.09.LZZZZZZZ
私生活,神吉拓郎,直木賞,神吉拓郎__私生活,4163076905,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
秘伝,高橋治,直木賞,高橋治__秘伝,4062010038,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
穴,小山田浩子,芥川賞,小山田浩子__穴,4103336420,https://calil.jp/book/4103336420,https://images-na.ssl-images-amazon.com/images/P/4103336420.09.LZZZZZZZ
空中ブランコ,奥田英朗,直木賞,奥田英朗__空中ブランコ,4163228705,https://calil.jp/book/4163228705,https://images-na.ssl-images-amazon.com/images/P/4163228705.09.LZZZZZZZ
等伯,安部龍太郎,直木賞,安部龍太郎__等伯,416790442X,https://calil.jp/book/416790442X,https://images-na.ssl-images-amazon.com/images/P/416790442X.09.LZZZZZZZ
糞尿譚,火野葦平,芥川賞,火野葦平__糞尿譚,4061984810,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
終の住処,磯崎憲一郎,芥川賞,磯崎憲一郎__終の住処,410317711X,https://calil.jp/book/410317711X,https://images-na.ssl-images-amazon.com/images/P/410317711X.09.LZZZZZZZ
終身未決囚,有馬頼義,直木賞,有馬頼義__終身未決囚,,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
緋い記憶,高橋克彦,直木賞,高橋克彦__緋い記憶,4167164051,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
総会屋錦城,城山三郎,直木賞,城山三郎__総会屋錦城,4101133018,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
纏足の頃,石塚喜久三,芥川賞,石塚喜久三__纏足の頃,,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
罪な女・その他,藤原審爾,直木賞,藤原審爾__罪な女・その他,4062620855,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
羊と鋼の森,宮下奈都,本屋大賞,宮下奈都__羊と鋼の森,4091398863,https://calil.jp/book/4163902945,https://images-na.ssl-images-amazon.com/images/P/4163902945.09.LZZZZZZZ
美談の出発,川村晃,芥川賞,川村晃__美談の出発,,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
翳りゆく夏,赤井三尋,江戸川乱歩賞,赤井三尋__翳りゆく夏,4865961100,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
老虎残夢,桃野雑派,江戸川乱歩賞,桃野雑派__老虎残夢,4065245621,https://calil.jp/book/4065245621,https://images-na.ssl-images-amazon.com/images/P/4065245621.09.LZZZZZZZ
聖少女,三好徹,直木賞,三好徹__聖少女,4167121026,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
聖水,青来有一,芥川賞,青来有一__聖水,4167685019,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
肩ごしの恋人,唯川恵,直木賞,唯川恵__肩ごしの恋人,4838712987,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
背徳のメス,黒岩重吾,直木賞,黒岩重吾__背徳のメス,4122005752,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
背負い水,荻野アンナ,芥川賞,荻野アンナ__背負い水,4167563010,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
背高泡立草,古川真人,芥川賞,古川真人__背高泡立草,4087717100,https://calil.jp/book/4087717100,https://images-na.ssl-images-amazon.com/images/P/4087717100.09.LZZZZZZZ
脳男,首藤瓜於,江戸川乱歩賞,首藤瓜於__脳男,4063649113,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
自動起床装置,辺見庸,芥川賞,辺見庸__自動起床装置,416312750X ,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
至高聖所アバトーン,松村栄子,芥川賞,松村栄子__至高聖所アバトーン,4828824170,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
舟を編む,三浦しをん,本屋大賞,三浦しをん__舟を編む,4334927769,https://calil.jp/book/4334927769,https://images-na.ssl-images-amazon.com/images/P/4334927769.09.LZZZZZZZ
花のれん,山崎豊子,直木賞,山崎豊子__花のれん,4101104034,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
花の名前・かわうそ・犬小屋,向田邦子,直木賞,向田邦子__花の名前・かわうそ・犬小屋,,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
花まんま,朱川湊人,直木賞,朱川湊人__花まんま,4163238409,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
花園の迷宮,山崎洋子,江戸川乱歩賞,山崎洋子__花園の迷宮,4062029693,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
花腐し,松浦寿輝,芥川賞,松浦寿輝__花腐し,4062751216,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
苦役列車,西村賢太,芥川賞,西村賢太__苦役列車,4103032324,https://calil.jp/book/4103032324,https://images-na.ssl-images-amazon.com/images/P/4103032324.09.LZZZZZZZ
英語屋さん・その他,源氏鶏太,直木賞,源氏鶏太__英語屋さん・その他,,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
草のつるぎ,野呂邦暢,芥川賞,野呂邦暢__草のつるぎ,4892570931,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
荒地の家族,佐藤厚志,芥川賞,佐藤厚志__荒地の家族,4103541121,https://calil.jp/book/4103541121,https://images-na.ssl-images-amazon.com/images/P/4103541121.09.LZZZZZZZ
華やかな死体,佐賀潜,江戸川乱歩賞,佐賀潜__華やかな死体,4062638789,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
落ちる,多岐川恭,直木賞,多岐川恭__落ちる,4480435301,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
蒲田行進曲,つかこうへい,直木賞,つかこうへい__蒲田行進曲,4334727654,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
