年,賞タイトル,賞,受賞・最終候補作,著者,出版,著者__受賞・最終候補作,key,追加日時,発表日,並べ順日付,ISBN10,複数受賞,calil,ImageURL,賞タイプ
2024,週刊文春ミステリーベスト10,海外部門05,すべての罪は血を流す,S・A・コスビー,,S・A・コスビー__すべての罪は血を流す,2024_週刊文春ミステリーベスト10_海外部門05_すべての罪は血を流す_S・A・コスビー,2024/12/09 16:51:51,2024/12/12,2024/12/12,4596823960,3,https://calil.jp/book/4596823960,https://images-na.ssl-images-amazon.com/images/P/4596823960.09.LZZZZZZZ,候補
2024,週刊文春ミステリーベスト10,海外部門06,ウナギの罠,ヤーン・エクストレム,,ヤーン・エクストレム__ウナギの罠,2024_週刊文春ミステリーベスト10_海外部門06_ウナギの罠_ヤーン・エクストレム,2024/12/09 16:51:51,2024/12/12,2024/12/12,4594094066,3,https://calil.jp/book/4594094066,https://images-na.ssl-images-amazon.com/images/P/4594094066.09.LZZZZZZZ,候補
2024,週刊文春ミステリーベスト10,海外部門07,喪服の似合う少女,陸秋槎,,陸秋槎__喪服の似合う少女,2024_週刊文春ミステリーベスト10_海外部門07_喪服の似合う少女_陸秋槎,2024/12/09 16:51:51,2024/12/12,2024/12/12,415002006X,3,https://calil.jp/book/415002006X,https://images-na.ssl-images-amazon.com/images/P/415002006X.09.LZZZZZZZ,候補
2024,週刊文春ミステリーベスト10,海外部門08,ぼくの家族はみんな誰かを殺してる,ベンジャミン・スティーヴンソン,,ベンジャミン・スティーヴンソン__ぼくの家族はみんな誰かを殺してる,2024_週刊文春ミステリーベスト10_海外部門08_ぼくの家族はみんな誰かを殺してる_ベンジャミン・スティーヴンソン,2024/12/09 16:51:51,2024/12/12,2024/12/12,4596961328,4,https://calil.jp/book/4596961328,https://images-na.ssl-images-amazon.com/images/P/4596961328.09.LZZZZZZZ,候補
2024,週刊文春ミステリーベスト10,海外部門09,エイレングラフ弁護士の事件簿,ローレンス・ブロック,,ローレンス・ブロック__エイレングラフ弁護士の事件簿,2024_週刊文春ミステリーベスト10_海外部門09_エイレングラフ弁護士の事件簿_ローレンス・ブロック,2024/12/09 16:51:51,2024/12/12,2024/12/12,4167922789,3,https://calil.jp/book/4167922789,https://images-na.ssl-images-amazon.com/images/P/4167922789.09.LZZZZZZZ,候補
2024,週刊文春ミステリーベスト10,海外部門10,邪悪なる大蛇,ピエール・ルメートル,,ピエール・ルメートル__邪悪なる大蛇,2024_週刊文春ミステリーベスト10_海外部門10_邪悪なる大蛇_ピエール・ルメートル,2024/12/09 16:51:51,2024/12/12,2024/12/12,4163918809,1,https://calil.jp/book/4163918809,https://images-na.ssl-images-amazon.com/images/P/4163918809.09.LZZZZZZZ,候補
2024,直木賞,172回（2024年下半期）候補,よむよむかたる,朝倉かすみ,,朝倉かすみ__よむよむかたる,2024_直木賞_172回（2024年下半期）候補_よむよむかたる_朝倉かすみ,2024/12/12 8:39:15,,2024/12/12,4163918973,1,https://calil.jp/book/4163918973,https://images-na.ssl-images-amazon.com/images/P/4163918973.09.LZZZZZZZ,候補
2024,直木賞,172回（2024年下半期）候補,藍を継ぐ海,伊与原新,,伊与原新__藍を継ぐ海,2024_直木賞_172回（2024年下半期）候補_藍を継ぐ海_伊与原新,2024/12/12 8:39:15,,2024/12/12,4103362146,1,https://calil.jp/book/4103362146,https://images-na.ssl-images-amazon.com/images/P/4103362146.09.LZZZZZZZ,候補
2024,直木賞,172回（2024年下半期）候補,飽くなき地景,荻堂顕,,荻堂顕__飽くなき地景,2024_直木賞_172回（2024年下半期）候補_飽くなき地景_荻堂顕,2024/12/12 8:39:15,,2024/12/12,4041150671,1,https://calil.jp/book/4041150671,https://images-na.ssl-images-amazon.com/images/P/4041150671.09.LZZZZZZZ,候補
2024,直木賞,172回（2024年下半期）候補,秘色の契り 阿波宝暦明和の変 顛末譚,木下昌輝,,木下昌輝__秘色の契り 阿波宝暦明和の変 顛末譚,2024_直木賞_172回（2024年下半期）候補_秘色の契り 阿波宝暦明和の変 顛末譚_木下昌輝,2024/12/12 8:39:15,,2024/12/12,4198659052,1,https://calil.jp/book/4198659052,https://images-na.ssl-images-amazon.com/images/P/4198659052.09.LZZZZZZZ,候補
