著者__受賞作,著者,受賞作,ISBN10,ImageURL,賞名,Calil
久和間拓__エースの遺言,久和間拓,エースの遺言,4575241415,https://images-na.ssl-images-amazon.com/images/P/4575241415.09.LZZZZZZZ,2016_小説推理新人賞_第38回（2016年）_エースの遺言_久和間拓,https://calil.jp/book/4575241415
城明__あの頃トン子と,城明,あの頃トン子と,4062203901,https://images-na.ssl-images-amazon.com/images/P/4062203901.09.LZZZZZZZ,2016_小説現代長編新人賞_第11回（2016年）奨励賞_あの頃トン子と_城明,https://calil.jp/book/4062203901
泉ゆたか__お師匠さま、整いました!,泉ゆたか,お師匠さま、整いました!,4062203936,https://images-na.ssl-images-amazon.com/images/P/4062203936.09.LZZZZZZZ,2016_小説現代長編新人賞_第11回（2016年）受賞_お師匠さま、整いました!_泉ゆたか,https://calil.jp/book/4062203936
青羽悠__星に願いを、そして手を。,青羽悠,星に願いを、そして手を。,4087710378,https://images-na.ssl-images-amazon.com/images/P/4087710378.09.LZZZZZZZ,2016_小説すばる新人賞_第29回（2016年）_星に願いを、そして手を。_青羽悠,https://calil.jp/book/4087710378
樒屋京介__猫町くんと猫と黒猫,樒屋京介,猫町くんと猫と黒猫,4093865167,https://images-na.ssl-images-amazon.com/images/P/4093865167.09.LZZZZZZZ,2016_小学館文庫小説賞_第17回（2016年）優秀賞_猫町くんと猫と黒猫_樒屋京介,https://calil.jp/book/4093865167
鳥海嶺__そして灰色に融ける,鳥海嶺,そして灰色に融ける,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2016_小学館文庫小説賞_第17回（2016年）受賞_そして灰色に融ける_鳥海嶺,https://calil.jp/search?q=%E9%B3%A5%E6%B5%B7%E5%B6%BA%20%E3%81%9D%E3%81%97%E3%81%A6%E7%81%B0%E8%89%B2%E3%81%AB%E8%9E%8D%E3%81%91%E3%82%8B
酒井田貫太郎__翡翠と琥珀（ジャナ研の憂鬱な事件簿）,酒井田貫太郎,翡翠と琥珀（ジャナ研の憂鬱な事件簿）,4094516794,https://images-na.ssl-images-amazon.com/images/P/4094516794.09.LZZZZZZZ,2016_小学館ライトノベル大賞（ガガガ文庫部門）_第11回（2016年）優秀賞_翡翠と琥珀（ジャナ研の憂鬱な事件簿）_酒井田貫太郎,https://calil.jp/book/4094516794
谺（坂下谺）__その過去にイピカイエー、この結末にマザーファッカー。（スクールジャック＝ガンスモーク）,坂下谺,その過去にイピカイエー、この結末にマザーファッカー。（スクールジャック＝ガンスモーク）,4094516840,https://images-na.ssl-images-amazon.com/images/P/4094516840.09.LZZZZZZZ,2016_小学館ライトノベル大賞（ガガガ文庫部門）_第11回（2016年）優秀賞_その過去にイピカイエー、この結末にマザーファッカー。（スクールジャック＝ガンスモーク）_谺（坂下谺）,https://calil.jp/book/4094516840
白樺みひゃえる__世界の終わりに問う賛歌,白樺みひゃえる,世界の終わりに問う賛歌,4094516875,https://images-na.ssl-images-amazon.com/images/P/4094516875.09.LZZZZZZZ,2016_小学館ライトノベル大賞（ガガガ文庫部門）_第11回（2016年）審査員特別賞_世界の終わりに問う賛歌_白樺みひゃえる,https://calil.jp/book/4094516875
遍柳一__平浦ファミリズム,遍柳一,平浦ファミリズム,4094516891,https://images-na.ssl-images-amazon.com/images/P/4094516891.09.LZZZZZZZ,2016_小学館ライトノベル大賞（ガガガ文庫部門）_第11回（2016年）ガガガ大賞_平浦ファミリズム_遍柳一,https://calil.jp/book/4094516891
水坂不適合__ひきこもり姫を歌わせたいっ！,水坂不適合,ひきこもり姫を歌わせたいっ！,4094516883,https://images-na.ssl-images-amazon.com/images/P/4094516883.09.LZZZZZZZ,2016_小学館ライトノベル大賞（ガガガ文庫部門）_第11回（2016年）ガガガ賞_ひきこもり姫を歌わせたいっ！_水坂不適合,https://calil.jp/book/4094516883
笹井都和古__県民には買うものがある,笹井都和古,県民には買うものがある,4103523913,https://images-na.ssl-images-amazon.com/images/P/4103523913.09.LZZZZZZZ,2016_女による女のためのR-18文学賞_第15回（2016年度）友近賞_県民には買うものがある_笹井都和古,https://calil.jp/book/4103523913
一木けい__夜の西国分寺（西国疾走少女）,一木けい,夜の西国分寺（西国疾走少女）,4103514418,https://images-na.ssl-images-amazon.com/images/P/4103514418.09.LZZZZZZZ,2016_女による女のためのR-18文学賞_第15回（2016年度）読者賞_西国疾走少女_一木けい,https://calil.jp/book/4103514418
町田そのこ__カメルーンの青い魚,町田そのこ,カメルーンの青い魚,4103510811,https://images-na.ssl-images-amazon.com/images/P/4103510811.09.LZZZZZZZ,2016_女による女のためのR-18文学賞_第15回（2016年度）大賞_カメルーンの青い魚_町田そのこ,https://calil.jp/book/4103510811
佐々木愛__祝、貧乳,佐々木愛,祝、貧乳,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2016_女による女のためのR-18文学賞_第15回（2016年度）候補_祝、貧乳_佐々木愛,https://calil.jp/search?q=%E4%BD%90%E3%80%85%E6%9C%A8%E6%84%9B%20%E7%A5%9D%E3%80%81%E8%B2%A7%E4%B9%B3
白尾悠__泳ぐ鹿 Swimming Deer,白尾悠,泳ぐ鹿 Swimming Deer,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2016_女による女のためのR-18文学賞_第15回（2016年度）候補_泳ぐ鹿 Swimming Deer_白尾悠,https://calil.jp/search?q=%E7%99%BD%E5%B0%BE%E6%82%A0%20%E6%B3%B3%E3%81%90%E9%B9%BF%20Swimming%20Deer
山田珠玉__ストロボライド,山田珠玉,ストロボライド,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2016_女による女のためのR-18文学賞_第15回（2016年度）候補_ストロボライド_山田珠玉,https://calil.jp/search?q=%E5%B1%B1%E7%94%B0%E7%8F%A0%E7%8E%89%20%E3%82%B9%E3%83%88%E3%83%AD%E3%83%9C%E3%83%A9%E3%82%A4%E3%83%89
サラ・ウォーターズ__黄昏の彼女たち,サラ・ウォーターズ,黄昏の彼女たち,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2016_週刊文春ミステリーベスト10_海外部門08_黄昏の彼女たち_サラ・ウォーターズ,https://calil.jp/search?q=%E3%82%B5%E3%83%A9%E3%83%BB%E3%82%A6%E3%82%A9%E3%83%BC%E3%82%BF%E3%83%BC%E3%82%BA%20%E9%BB%84%E6%98%8F%E3%81%AE%E5%BD%BC%E5%A5%B3%E3%81%9F%E3%81%A1
山本音也__本懐に候,山本音也,本懐に候,4093798842,https://images-na.ssl-images-amazon.com/images/P/4093798842.09.LZZZZZZZ,2016_舟橋聖一文学賞_第10回（2016年度）受賞_本懐に候_山本音也,https://calil.jp/book/4093798842
井上荒野__赤へ,井上荒野,赤へ,4396634986,https://images-na.ssl-images-amazon.com/images/P/4396634986.09.LZZZZZZZ,2016_柴田錬三郎賞_第29回（2016年度）受賞_赤へ_井上荒野,https://calil.jp/book/4396634986
葉室麟__鬼神の如く黒田叛臣伝,葉室麟,鬼神の如く黒田叛臣伝,4103280131,https://images-na.ssl-images-amazon.com/images/P/4103280131.09.LZZZZZZZ,2016_司馬遼太郎賞_2016年（平成28年）第20回_鬼神の如く 黒田叛臣伝_葉室麟,https://calil.jp/book/4103280131
湊かなえ__ユートピア,湊かなえ,ユートピア,4087716376,https://images-na.ssl-images-amazon.com/images/P/4087716376.09.LZZZZZZZ,2016_山本周五郎賞_第29回（2016年）受賞_ユートピア_湊かなえ,https://calil.jp/book/4087716376
中田永一__私は存在が空気,中田永一,私は存在が空気,4396634846,https://images-na.ssl-images-amazon.com/images/P/4396634846.09.LZZZZZZZ,2016_山本周五郎賞_第29回（2016年）候補_私は存在が空気_中田永一,https://calil.jp/book/4396634846
押切もえ__永遠とは違う一日,押切もえ,永遠とは違う一日,4103399317,https://images-na.ssl-images-amazon.com/images/P/4103399317.09.LZZZZZZZ,2016_山本周五郎賞_第29回（2016年）候補_永遠とは違う一日_押切もえ,https://calil.jp/book/4103399317
相場英雄__ガラパゴス,相場英雄,ガラパゴス,4093864322,https://images-na.ssl-images-amazon.com/images/P/4093864322.09.LZZZZZZZ,2016_山本周五郎賞_第29回（2016年）候補_ガラパゴス_相場英雄,https://calil.jp/book/4093864322
雫井脩介__望み,雫井脩介,望み,4041039886,https://images-na.ssl-images-amazon.com/images/P/4041039886.09.LZZZZZZZ,2016_山田風太郎賞_第7回（2016年）候補_望み_雫井脩介,https://calil.jp/book/4041039886
山田宗樹__代体,山田宗樹,代体,4041041260,https://images-na.ssl-images-amazon.com/images/P/4041041260.09.LZZZZZZZ,2016_山田風太郎賞_第7回（2016年）候補_代体_山田宗樹,https://calil.jp/book/4041041260
垣根涼介__室町無頼,垣根涼介,室町無頼,4104750069,https://images-na.ssl-images-amazon.com/images/P/4104750069.09.LZZZZZZZ,2016_山田風太郎賞_第7回（2016年）候補_室町無頼_垣根涼介,https://calil.jp/book/4104750069
中路啓太__ロンドン狂瀾,中路啓太,ロンドン狂瀾,4334910726,https://images-na.ssl-images-amazon.com/images/P/4334910726.09.LZZZZZZZ,2016_山田風太郎賞_第7回（2016年）候補_ロンドン狂瀾_中路啓太,https://calil.jp/book/4334910726
万城目学__バベル九朔,万城目学,バベル九朔,4041034647,https://images-na.ssl-images-amazon.com/images/P/4041034647.09.LZZZZZZZ,2016_山田風太郎賞_第7回（2016年）候補_バベル九朔_万城目学,https://calil.jp/book/4041034647
蓮實重彦__伯爵夫人,蓮實重彦,伯爵夫人,4103043539,https://images-na.ssl-images-amazon.com/images/P/4103043539.09.LZZZZZZZ,2016_三島由紀夫賞_第29回（2016年） 受賞_伯爵夫人_蓮實重彦,https://calil.jp/book/4103043539
三輪太郎__憂国者たち,三輪太郎,憂国者たち,4062198045,https://images-na.ssl-images-amazon.com/images/P/4062198045.09.LZZZZZZZ,2016_三島由紀夫賞_第29回（2016年） 候補_憂国者たち_三輪太郎,https://calil.jp/book/4062198045
山下澄人__鳥の会議,山下澄人,鳥の会議,4309023940,https://images-na.ssl-images-amazon.com/images/P/4309023940.09.LZZZZZZZ,2016_三島由紀夫賞_第29回（2016年） 候補_鳥の会議_山下澄人,https://calil.jp/book/4309023940
亀山郁夫__新カラマーゾフの兄弟,亀山郁夫,新カラマーゾフの兄弟,430902422X,https://images-na.ssl-images-amazon.com/images/P/430902422X.09.LZZZZZZZ,2016_三島由紀夫賞_第29回（2016年） 候補_新カラマーゾフの兄弟_亀山郁夫,https://calil.jp/book/430902422X
柚木麻子__ナイルパーチの女子会,柚木麻子,ナイルパーチの女子会,4163902295,https://images-na.ssl-images-amazon.com/images/P/4163902295.09.LZZZZZZZ,2016_高校生直木賞_第3回（2016年） 大賞_ナイルパーチの女子会_柚木麻子,https://calil.jp/book/4163902295
