著者__受賞・最終候補作,受賞作,著者名,ISBN10,ImageURL,賞名,Calil
円城塔__道化師の蝶,道化師の蝶,円城塔,4062175614,https://images-na.ssl-images-amazon.com/images/P/4062175614.09.LZZZZZZZ,2011_芥川賞_146回（2011年下半期）_道化師の蝶_円城塔,https://calil.jp/book/4062175614
田中慎弥__共喰い,共喰い,田中慎弥,4087714470,https://images-na.ssl-images-amazon.com/images/P/4087714470.09.LZZZZZZZ,2011_芥川賞_146回（2011年下半期）_共喰い_田中慎弥,https://calil.jp/book/4087714470
木内昇__漂砂（ひょうさ）のうたう,漂砂（ひょうさ）のうたう,木内昇,4087713733,https://images-na.ssl-images-amazon.com/images/P/4087713733.09.LZZZZZZZ,2010_直木賞_144回（2010年下半期）_漂砂（ひょうさ）のうたう_木内昇,https://calil.jp/book/4087713733
道尾秀介__月と蟹,月と蟹,道尾秀介,4163295607,https://images-na.ssl-images-amazon.com/images/P/4163295607.09.LZZZZZZZ,2010_直木賞_144回（2010年下半期）_月と蟹_道尾秀介,https://calil.jp/book/4163295607
中島京子__小さいおうち,小さいおうち,中島京子,4163292306,https://images-na.ssl-images-amazon.com/images/P/4163292306.09.LZZZZZZZ,2010_直木賞_143回（2010年上半期）_小さいおうち_中島京子,https://calil.jp/book/4163292306
道尾秀介__光媒の花,光媒の花,道尾秀介,4087713377,https://images-na.ssl-images-amazon.com/images/P/4087713377.09.LZZZZZZZ,2010_山本周五郎賞_第23回（2010年）受賞_光媒の花_道尾秀介,https://calil.jp/book/4087713377
貫井徳郎__後悔と真実の色,後悔と真実の色,貫井徳郎,4344017382,https://images-na.ssl-images-amazon.com/images/P/4344017382.09.LZZZZZZZ,2010_山本周五郎賞_第23回（2010年）受賞_後悔と真実の色_貫井徳郎,https://calil.jp/book/4344017382
横関大__再会,再会,横関大,4062164655,https://images-na.ssl-images-amazon.com/images/P/4062164655.09.LZZZZZZZ,2010_江戸川乱歩賞_第56回（2010年度）受賞_再会_横関大,https://calil.jp/book/4062164655
西村賢太__苦役列車,苦役列車,西村賢太,4103032324,https://images-na.ssl-images-amazon.com/images/P/4103032324.09.LZZZZZZZ,2010_芥川賞_144回（2010年下半期）_苦役列車_西村賢太,https://calil.jp/book/4103032324
朝吹真理子__きことわ,きことわ,朝吹真理子,4103284625,https://images-na.ssl-images-amazon.com/images/P/4103284625.09.LZZZZZZZ,2010_芥川賞_144回（2010年下半期）_きことわ_朝吹真理子,https://calil.jp/book/4103284625
赤染晶子__乙女の密告,乙女の密告,赤染晶子,4103276614,https://images-na.ssl-images-amazon.com/images/P/4103276614.09.LZZZZZZZ,2010_芥川賞_143回（2010年上半期）_乙女の密告_赤染晶子,https://calil.jp/book/4103276614
佐々木譲__廃墟に乞う,廃墟に乞う,佐々木譲,4163283307,https://images-na.ssl-images-amazon.com/images/P/4163283307.09.LZZZZZZZ,2009_直木賞_142回（2009年下半期）_廃墟に乞う_佐々木譲,https://calil.jp/book/4163283307
白石一文__ほかならぬ人へ,ほかならぬ人へ,白石一文,4396633289,https://images-na.ssl-images-amazon.com/images/P/4396633289.09.LZZZZZZZ,2009_直木賞_142回（2009年下半期）_ほかならぬ人へ_白石一文,https://calil.jp/book/4396633289
白石一文__この胸に深々と突き刺さる矢を抜け,この胸に深々と突き刺さる矢を抜け,白石一文,4062152428,https://images-na.ssl-images-amazon.com/images/P/4062152428.09.LZZZZZZZ,2009_山本周五郎賞_第22回（2009年）受賞_この胸に深々と突き刺さる矢を抜け_白石一文,https://calil.jp/book/4062152428
遠藤武文__プリズン・トリック,プリズン・トリック,遠藤武文,4062157063,https://images-na.ssl-images-amazon.com/images/P/4062157063.09.LZZZZZZZ,2009_江戸川乱歩賞_第55回（2009年度）受賞_プリズン・トリック_遠藤武文,https://calil.jp/book/4062157063
磯崎憲一郎__終の住処,終の住処,磯崎憲一郎,410317711X,https://images-na.ssl-images-amazon.com/images/P/410317711X.09.LZZZZZZZ,2009_芥川賞_141回（2009年上半期）_終の住処_磯崎憲一郎,https://calil.jp/book/410317711X
山本兼一__利休にたずねよ,利休にたずねよ,山本兼一,4569702767,https://images-na.ssl-images-amazon.com/images/P/4569702767.09.LZZZZZZZ,2008_直木賞_140回（2008年下半期）_利休にたずねよ_山本兼一,https://calil.jp/book/4569702767
天童荒太__悼む人,悼む人,天童荒太,4163276408,https://images-na.ssl-images-amazon.com/images/P/4163276408.09.LZZZZZZZ,2008_直木賞_140回（2008年下半期）_悼む人_天童荒太,https://calil.jp/book/4163276408
井上荒野__切羽（きりは）へ,切羽（きりは）へ,井上荒野,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_直木賞_139回（2008年上半期）_切羽（きりは）へ_井上荒野,https://calil.jp/search?q=%E4%BA%95%E4%B8%8A%E8%8D%92%E9%87%8E%20%E3%81%8D%E3%82%8A%E3%81%AF
翔田寛__誘拐児,誘拐児,翔田寛,4062149184,https://images-na.ssl-images-amazon.com/images/P/4062149184.09.LZZZZZZZ,2008_江戸川乱歩賞_第54回（2008年度）受賞_誘拐児_翔田寛,https://calil.jp/book/4062149184
末浦広海__訣別の森,訣別の森,末浦広海,4062149079,https://images-na.ssl-images-amazon.com/images/P/4062149079.09.LZZZZZZZ,2008_江戸川乱歩賞_第54回（2008年度）受賞_訣別の森_末浦広海,https://calil.jp/book/4062149079
津村記久子__ポトスライムの舟,ポトスライムの舟,津村記久子,4062152878,https://images-na.ssl-images-amazon.com/images/P/4062152878.09.LZZZZZZZ,2008_芥川賞_140回（2008年下半期）_ポトスライムの舟_津村記久子,https://calil.jp/book/4062152878
楊逸__時が滲む朝,時が滲む朝,楊逸,4163273603,https://images-na.ssl-images-amazon.com/images/P/4163273603.09.LZZZZZZZ,2008_芥川賞_139回（2008年上半期）_時が滲む朝_楊逸,https://calil.jp/book/4163273603
佐藤多佳子__一瞬の風になれ,一瞬の風になれ,佐藤多佳子,4062135620,https://images-na.ssl-images-amazon.com/images/P/4062135620.09.LZZZZZZZ,2007_本屋大賞_2007年_一瞬の風になれ_佐藤多佳子,https://calil.jp/book/4062135620
桜庭一樹__私の男,私の男,桜庭一樹,4163264302,https://images-na.ssl-images-amazon.com/images/P/4163264302.09.LZZZZZZZ,2007_直木賞_138回（2007年下半期）_私の男_桜庭一樹,https://calil.jp/book/4163264302
松井今朝子__吉原手引草,吉原手引草,松井今朝子,434401295X,https://images-na.ssl-images-amazon.com/images/P/434401295X.09.LZZZZZZZ,2007_直木賞_137回（2007年上半期）_吉原手引草_松井今朝子,https://calil.jp/book/434401295X
森見登美彦__夜は短し歩けよ乙女,夜は短し歩けよ乙女,森見登美彦,4048737449,https://images-na.ssl-images-amazon.com/images/P/4048737449.09.LZZZZZZZ,2007_山本周五郎賞_第20回（2007年）受賞_夜は短し歩けよ乙女_森見登美彦,https://calil.jp/book/4048737449
恩田陸__中庭の出来事,中庭の出来事,恩田陸,410397107X,https://images-na.ssl-images-amazon.com/images/P/410397107X.09.LZZZZZZZ,2007_山本周五郎賞_第20回（2007年）受賞_中庭の出来事_恩田陸,https://calil.jp/book/410397107X
曽根圭介__沈底魚,沈底魚,曽根圭介,4062142341,https://images-na.ssl-images-amazon.com/images/P/4062142341.09.LZZZZZZZ,2007_江戸川乱歩賞_第53回（2007年度）受賞_沈底魚_曽根圭介,https://calil.jp/book/4062142341
川上未映子__乳と卵,乳と卵,川上未映子,4163270108,https://images-na.ssl-images-amazon.com/images/P/4163270108.09.LZZZZZZZ,2007_芥川賞_138回（2007年下半期）_乳と卵_川上未映子,https://calil.jp/book/4163270108
諏訪哲史__アサッテの人,アサッテの人,諏訪哲史,4062142147,https://images-na.ssl-images-amazon.com/images/P/4062142147.09.LZZZZZZZ,2007_芥川賞_137回（2007年上半期）_アサッテの人_諏訪哲史,https://calil.jp/book/4062142147
リリー･フランキー__東京タワーオカンとボクと、時々、オトン,東京タワーオカンとボクと、時々、オトン,リリー･フランキー,4594049664,https://images-na.ssl-images-amazon.com/images/P/4594049664.09.LZZZZZZZ,2006_本屋大賞_2006年_東京タワーオカンとボクと、時々、オトン_リリー･フランキー,https://calil.jp/book/4594049664
森絵都__風に舞いあがるビニールシート,風に舞いあがるビニールシート,森絵都,4163249206,https://images-na.ssl-images-amazon.com/images/P/4163249206.09.LZZZZZZZ,2006_直木賞_135回（2006年上半期）_風に舞いあがるビニールシート_森絵都,https://calil.jp/book/4163249206
三浦しをん__まほろ駅前多田便利軒,まほろ駅前多田便利軒,三浦しをん,4167761017,https://images-na.ssl-images-amazon.com/images/P/4167761017.09.LZZZZZZZ,2006_直木賞_135回（2006年上半期）_まほろ駅前多田便利軒_三浦しをん,https://calil.jp/book/4167761017
鏑木蓮__東京ダモイ,東京ダモイ,鏑木蓮,4062135604,https://images-na.ssl-images-amazon.com/images/P/4062135604.09.LZZZZZZZ,2006_江戸川乱歩賞_第52回（2006年度）受賞_東京ダモイ_鏑木蓮,https://calil.jp/book/4062135604
早瀬乱__三年坂 火の夢,三年坂 火の夢,早瀬乱,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2006_江戸川乱歩賞_第52回（2006年度）受賞_三年坂 火の夢_早瀬乱,https://calil.jp/search?q=%E6%97%A9%E7%80%AC%E4%B9%B1%20%E4%B8%89%E5%B9%B4%E5%9D%82%20%E7%81%AB%E3%81%AE%E5%A4%A2
青山七恵__ひとり日和,ひとり日和,青山七恵,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2006_芥川賞_136回（2006年下半期）_ひとり日和_青山七恵,https://calil.jp/search?q=%E9%9D%92%E5%B1%B1%E4%B8%83%E6%81%B5%20%E3%81%B2%E3%81%A8%E3%82%8A%E6%97%A5%E5%92%8C
伊藤たかみ__八月の路上に捨てる,八月の路上に捨てる,伊藤たかみ,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2006_芥川賞_135回（2006年上半期）_八月の路上に捨てる_伊藤たかみ,https://calil.jp/search?q=%E4%BC%8A%E8%97%A4%E3%81%9F%E3%81%8B%E3%81%BF%20%E5%85%AB%E6%9C%88%E3%81%AE%E8%B7%AF%E4%B8%8A%E3%81%AB%E6%8D%A8%E3%81%A6%E3%82%8B
朱川湊人__花まんま,花まんま,朱川湊人,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2005_直木賞_133回（2005年上半期）_花まんま_朱川湊人,https://calil.jp/search?q=%E6%9C%B1%E5%B7%9D%E6%B9%8A%E4%BA%BA%20%E8%8A%B1%E3%81%BE%E3%82%93%E3%81%BE
荻原浩__明日の記憶,明日の記憶,荻原浩,4334924468,https://images-na.ssl-images-amazon.com/images/P/4334924468.09.LZZZZZZZ,2005_山本周五郎賞_第18回（2005年）受賞_明日の記憶_荻原浩,https://calil.jp/book/4334924468
垣根涼介__君たちに明日はない,君たちに明日はない,垣根涼介,4104750018,https://images-na.ssl-images-amazon.com/images/P/4104750018.09.LZZZZZZZ,2005_山本周五郎賞_第18回（2005年）受賞_君たちに明日はない_垣根涼介,https://calil.jp/book/4104750018
薬丸岳__天使のナイフ,天使のナイフ,薬丸岳,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2005_江戸川乱歩賞_第51回（2005年度）受賞_天使のナイフ_薬丸岳 ,https://calil.jp/search?q=%E8%96%AC%E4%B8%B8%E5%B2%B3%20%E5%A4%A9%E4%BD%BF%E3%81%AE%E3%83%8A%E3%82%A4%E3%83%95
絲山秋子__沖で待つ,沖で待つ,絲山秋子,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2005_芥川賞_134回（2005年下半期）_沖で待つ_絲山秋子,https://calil.jp/search?q=%E7%B5%B2%E5%B1%B1%E7%A7%8B%E5%AD%90%20%E6%B2%96%E3%81%A7%E5%BE%85%E3%81%A4
中村文則__土の中の子供,土の中の子供,中村文則,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2005_芥川賞_133回（2005年上半期）_土の中の子供_中村文則,https://calil.jp/search?q=%E4%B8%AD%E6%9D%91%E6%96%87%E5%89%87%20%E5%9C%9F%E3%81%AE%E4%B8%AD%E3%81%AE%E5%AD%90%E4%BE%9B
小川洋子__博士の愛した数式,博士の愛した数式,小川洋子,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2004_本屋大賞_2004年_博士の愛した数式_小川洋子,https://calil.jp/search?q=%E5%B0%8F%E5%B7%9D%E6%B4%8B%E5%AD%90%20%E5%8D%9A%E5%A3%AB%E3%81%AE%E6%84%9B%E3%81%97%E3%81%9F%E6%95%B0%E5%BC%8F
角田光代__対岸の彼女,対岸の彼女,角田光代,4163235108,https://images-na.ssl-images-amazon.com/images/P/4163235108.09.LZZZZZZZ,2004_直木賞_132回（2004年下半期）_対岸の彼女_角田光代,https://calil.jp/book/4163235108
奥田英朗__空中ブランコ,空中ブランコ,奥田英朗,4163228705,https://images-na.ssl-images-amazon.com/images/P/4163228705.09.LZZZZZZZ,2004_直木賞_131回（2004年上半期）_空中ブランコ_奥田英朗,https://calil.jp/book/4163228705
熊谷達也__邂逅の森,邂逅の森,熊谷達也,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2004_山本周五郎賞_第17回（2004年）受賞_邂逅の森_熊谷達也,https://calil.jp/search?q=%E7%86%8A%E8%B0%B7%E9%81%94%E4%B9%9F%20%E9%82%82%E9%80%85%E3%81%AE%E6%A3%AE
神山裕右__カタコンベ,カタコンベ,神山裕右,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2004_江戸川乱歩賞_第50回（2004年度）受賞_カタコンベ_神山裕右,https://calil.jp/search?q=%E7%A5%9E%E5%B1%B1%E8%A3%95%E5%8F%B3%20%E3%82%AB%E3%82%BF%E3%82%B3%E3%83%B3%E3%83%99
阿部和重__グランド･フィナーレ,グランド･フィナーレ,阿部和重,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2004_芥川賞_132回（2004年下半期）_グランド･フィナーレ_阿部和重,https://calil.jp/search?q=%E9%98%BF%E9%83%A8%E5%92%8C%E9%87%8D%20%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%89%EF%BD%A5%E3%83%95%E3%82%A3%E3%83%8A%E3%83%BC%E3%83%AC
モブ・ノリオ__介護入門,介護入門,モブ・ノリオ,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2004_芥川賞_131回（2004年上半期）_介護入門_モブ・ノリオ,https://calil.jp/search?q=%E3%83%A2%E3%83%96%E3%83%BB%E3%83%8E%E3%83%AA%E3%82%AA%20%E4%BB%8B%E8%AD%B7%E5%85%A5%E9%96%80
江國香織__号泣する準備はできていた,号泣する準備はできていた,江國香織,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2003_直木賞_130回（2003年下半期）_号泣する準備はできていた_江國香織,https://calil.jp/search?q=%E6%B1%9F%E5%9C%8B%E9%A6%99%E7%B9%94%20%E5%8F%B7%E6%B3%A3%E3%81%99%E3%82%8B%E6%BA%96%E5%82%99%E3%81%AF%E3%81%A7%E3%81%8D%E3%81%A6%E3%81%84%E3%81%9F
京極夏彦__後巷説百物語,後巷説百物語,京極夏彦,4048735012,https://images-na.ssl-images-amazon.com/images/P/4048735012.09.LZZZZZZZ,2003_直木賞_130回（2003年下半期）_後巷説百物語_京極夏彦,https://calil.jp/book/4048735012
村山由佳__星々の舟,星々の舟,村山由佳,4163216502,https://images-na.ssl-images-amazon.com/images/P/4163216502.09.LZZZZZZZ,2003_直木賞_129回（2003年上半期）_星々の舟_村山由佳,https://calil.jp/book/4163216502
石田衣良__4TEENフォーティーン,4TEENフォーティーン,石田衣良,4104595012,https://images-na.ssl-images-amazon.com/images/P/4104595012.09.LZZZZZZZ,2003_直木賞_129回（2003年上半期）_4TEEN フォーティーン_石田衣良,https://calil.jp/book/4104595012
京極夏彦__覘き小平次,覘き小平次,京極夏彦,4122056659,https://images-na.ssl-images-amazon.com/images/P/4122056659.09.LZZZZZZZ,2003_山本周五郎賞_第16回（2003年）受賞_覘き小平次_京極夏彦,https://calil.jp/book/4122056659
赤井三尋__翳りゆく夏,翳りゆく夏,赤井三尋,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2003_江戸川乱歩賞_第49回（2003年度）受賞_翳りゆく夏_赤井三尋,https://calil.jp/search?q=%E8%B5%A4%E4%BA%95%E4%B8%89%E5%B0%8B%20%E7%BF%B3%E3%82%8A%E3%82%86%E3%81%8F%E5%A4%8F
不知火京介__マッチメイク,マッチメイク,不知火京介,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2003_江戸川乱歩賞_第49回（2003年度）受賞_マッチメイク_不知火京介,https://calil.jp/search?q=%E4%B8%8D%E7%9F%A5%E7%81%AB%E4%BA%AC%E4%BB%8B%20%E3%83%9E%E3%83%83%E3%83%81%E3%83%A1%E3%82%A4%E3%82%AF
綿矢りさ__蹴りたい背中,蹴りたい背中,綿矢りさ,4309015700,https://images-na.ssl-images-amazon.com/images/P/4309015700.09.LZZZZZZZ,2003_芥川賞_130回（2003年下半期）_蹴りたい背中_綿矢りさ,https://calil.jp/book/4309015700
吉村萬壱__ハリガネムシ,ハリガネムシ,吉村萬壱,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2003_芥川賞_129回（2003年上半期）_ハリガネムシ_吉村萬壱,https://calil.jp/search?q=%E5%90%89%E6%9D%91%E8%90%AC%E5%A3%B1%20%E3%83%8F%E3%83%AA%E3%82%AC%E3%83%8D%E3%83%A0%E3%82%B7
乙川優三郎__生きる,生きる,乙川優三郎,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2002_直木賞_127回（2002年上半期）_生きる_乙川優三郎,https://calil.jp/search?q=%E4%B9%99%E5%B7%9D%E5%84%AA%E4%B8%89%E9%83%8E%20%E7%94%9F%E3%81%8D%E3%82%8B
江國香織__泳ぐのに、安全でも適切でもありません,泳ぐのに、安全でも適切でもありません,江國香織,4087477851,https://images-na.ssl-images-amazon.com/images/P/4087477851.09.LZZZZZZZ,2002_山本周五郎賞_第15回（2002年）受賞_泳ぐのに、安全でも適切でもありません_江國香織,https://calil.jp/book/4087477851
吉田修一__パレード,パレード,吉田修一,4344001559,https://images-na.ssl-images-amazon.com/images/P/4344001559.09.LZZZZZZZ,2002_山本周五郎賞_第15回（2002年）受賞_パレード_吉田修一,https://calil.jp/book/4344001559
三浦明博__滅びのモノクローム,滅びのモノクローム,三浦明博,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2002_江戸川乱歩賞_第48回（2002年度）受賞_滅びのモノクローム_三浦明博,https://calil.jp/search?q=%E4%B8%89%E6%B5%A6%E6%98%8E%E5%8D%9A%20%E6%BB%85%E3%81%B3%E3%81%AE%E3%83%A2%E3%83%8E%E3%82%AF%E3%83%AD%E3%83%BC%E3%83%A0
大道珠貴__しょっぱいドライブ,しょっぱいドライブ,大道珠貴,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2002_芥川賞_128回（2002年下半期）_しょっぱいドライブ_大道珠貴,https://calil.jp/search?q=%E5%A4%A7%E9%81%93%E7%8F%A0%E8%B2%B4%20%E3%81%97%E3%82%87%E3%81%A3%E3%81%B1%E3%81%84%E3%83%89%E3%83%A9%E3%82%A4%E3%83%96
吉田修一__パーク・ライフ,パーク・ライフ,吉田修一,4163211802,https://images-na.ssl-images-amazon.com/images/P/4163211802.09.LZZZZZZZ,2002_芥川賞_127回（2002年上半期）_パーク・ライフ_吉田修一,https://calil.jp/book/4163211802
唯川恵__肩ごしの恋人,肩ごしの恋人,唯川恵,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2001_直木賞_126回（2001年下半期）_肩ごしの恋人_唯川恵,https://calil.jp/search?q=%E5%94%AF%E5%B7%9D%E6%81%B5%20%E8%82%A9%E3%81%94%E3%81%97%E3%81%AE%E6%81%8B%E4%BA%BA
山本一力__あかね空,あかね空,山本一力,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2001_直木賞_126回（2001年下半期）_あかね空_山本一力,https://calil.jp/search?q=%E5%B1%B1%E6%9C%AC%E4%B8%80%E5%8A%9B%20%E3%81%82%E3%81%8B%E3%81%AD%E7%A9%BA
藤田宜永__愛の領分,愛の領分,藤田宜永,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2001_直木賞_125回（2001年上半期）_愛の領分_藤田宜永,https://calil.jp/search?q=%E8%97%A4%E7%94%B0%E5%AE%9C%E6%B0%B8%20%E6%84%9B%E3%81%AE%E9%A0%98%E5%88%86
中山可穂__白い薔薇の淵まで,白い薔薇の淵まで,中山可穂,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2001_山本周五郎賞_第14回（2001年）受賞_白い薔薇の淵まで_中山可穂,https://calil.jp/search?q=%E4%B8%AD%E5%B1%B1%E5%8F%AF%E7%A9%82%20%E7%99%BD%E3%81%84%E8%96%94%E8%96%87%E3%81%AE%E6%B7%B5%E3%81%BE%E3%81%A7
乙川優三郎__五年の梅,五年の梅,乙川優三郎,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2001_山本周五郎賞_第14回（2001年）受賞_五年の梅_乙川優三郎,https://calil.jp/search?q=%E4%B9%99%E5%B7%9D%E5%84%AA%E4%B8%89%E9%83%8E%20%E4%BA%94%E5%B9%B4%E3%81%AE%E6%A2%85
長嶋有__猛スピードで母は,猛スピードで母は,長嶋有,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2001_芥川賞_126回（2001年下半期）_猛スピードで母は_長嶋有,https://calil.jp/search?q=%E9%95%B7%E5%B6%8B%E6%9C%89%20%E7%8C%9B%E3%82%B9%E3%83%94%E3%83%BC%E3%83%89%E3%81%A7%E6%AF%8D%E3%81%AF
玄侑宗久__中陰の花,中陰の花,玄侑宗久,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2001_芥川賞_125回（2001年上半期）_中陰の花_玄侑宗久,https://calil.jp/search?q=%E7%8E%84%E4%BE%91%E5%AE%97%E4%B9%85%20%E4%B8%AD%E9%99%B0%E3%81%AE%E8%8A%B1
山本文緒__プラナリア,プラナリア,山本文緒,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2000_直木賞_124回（2000年下半期）_プラナリア_山本文緒,https://calil.jp/search?q=%E5%B1%B1%E6%9C%AC%E6%96%87%E7%B7%92%20%E3%83%97%E3%83%A9%E3%83%8A%E3%83%AA%E3%82%A2
重松清__ビタミンF,ビタミンF,重松清,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2000_直木賞_124回（2000年下半期）_ビタミンF_重松清,https://calil.jp/search?q=%E9%87%8D%E6%9D%BE%E6%B8%85%20%E3%83%93%E3%82%BF%E3%83%9F%E3%83%B3F
金城一紀__GO,GO,金城一紀,4062100541,https://images-na.ssl-images-amazon.com/images/P/4062100541.09.LZZZZZZZ,2000_直木賞_123回（2000年上半期）_GO_金城一紀,https://calil.jp/book/4062100541
岩井志麻子__ぼっけえ、きょうてえ,ぼっけえ、きょうてえ,岩井志麻子,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2000_山本周五郎賞_第13回（2000年）受賞_ぼっけえ、きょうてえ_岩井志麻子,https://calil.jp/search?q=%E5%B2%A9%E4%BA%95%E5%BF%97%E9%BA%BB%E5%AD%90%20%E3%81%BC%E3%81%A3%E3%81%91%E3%81%88%E3%80%81%E3%81%8D%E3%82%87%E3%81%86%E3%81%A6%E3%81%88
首藤瓜於__脳男,脳男,首藤瓜於,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2000_江戸川乱歩賞_第46回（2000年度）受賞_脳男_首藤瓜於,https://calil.jp/search?q=%E9%A6%96%E8%97%A4%E7%93%9C%E6%96%BC%20%E8%84%B3%E7%94%B7
青来有一__聖水,聖水,青来有一,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2000_芥川賞_124回（2000年下半期）_聖水_青来有一,https://calil.jp/search?q=%E9%9D%92%E6%9D%A5%E6%9C%89%E4%B8%80%20%E8%81%96%E6%B0%B4
堀江敏幸__熊の敷石,熊の敷石,堀江敏幸,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2000_芥川賞_124回（2000年下半期）_熊の敷石_堀江敏幸,https://calil.jp/search?q=%E5%A0%80%E6%B1%9F%E6%95%8F%E5%B9%B8%20%E7%86%8A%E3%81%AE%E6%95%B7%E7%9F%B3
松浦寿輝__花腐し,花腐し,松浦寿輝,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2000_芥川賞_123回（2000年上半期）_花腐し_松浦寿輝,https://calil.jp/search?q=%E6%9D%BE%E6%B5%A6%E5%AF%BF%E8%BC%9D%20%E8%8A%B1%E8%85%90%E3%81%97
町田康__きれぎれ,きれぎれ,町田康,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2000_芥川賞_123回（2000年上半期）_きれぎれ_町田康,https://calil.jp/search?q=%E7%94%BA%E7%94%B0%E5%BA%B7%20%E3%81%8D%E3%82%8C%E3%81%8E%E3%82%8C
なかにし礼__長崎ぶらぶら節,長崎ぶらぶら節,なかにし礼,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,1999_直木賞_122回（1999年下半期）_長崎ぶらぶら節_なかにし礼,https://calil.jp/search?q=%E3%81%AA%E3%81%8B%E3%81%AB%E3%81%97%E7%A4%BC%20%E9%95%B7%E5%B4%8E%E3%81%B6%E3%82%89%E3%81%B6%E3%82%89%E7%AF%80
佐藤賢一__王妃の離婚,王妃の離婚,佐藤賢一,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,1999_直木賞_121回（1999年上半期）_王妃の離婚_佐藤賢一,https://calil.jp/search?q=%E4%BD%90%E8%97%A4%E8%B3%A2%E4%B8%80%20%E7%8E%8B%E5%A6%83%E3%81%AE%E9%9B%A2%E5%A9%9A
重松清__エイジ,エイジ,重松清,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,1999_山本周五郎賞_第12回（1999年）受賞_エイジ_重松清,https://calil.jp/search?q=%E9%87%8D%E6%9D%BE%E6%B8%85%20%E3%82%A8%E3%82%A4%E3%82%B8
新野剛志__八月のマルクス,八月のマルクス,新野剛志,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,1999_江戸川乱歩賞_第45回（1999年度）受賞_八月のマルクス_新野剛志,https://calil.jp/search?q=%E6%96%B0%E9%87%8E%E5%89%9B%E5%BF%97%20%E5%85%AB%E6%9C%88%E3%81%AE%E3%83%9E%E3%83%AB%E3%82%AF%E3%82%B9
藤野千夜__夏の約束,夏の約束,藤野千夜,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,1999_芥川賞_122回（1999年下半期）_夏の約束_藤野千夜,https://calil.jp/search?q=%E8%97%A4%E9%87%8E%E5%8D%83%E5%A4%9C%20%E5%A4%8F%E3%81%AE%E7%B4%84%E6%9D%9F
玄月__蔭の棲みか,蔭の棲みか,玄月,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,1999_芥川賞_122回（1999年下半期）_蔭の棲みか_玄月,https://calil.jp/search?q=%E7%8E%84%E6%9C%88%20%E8%94%AD%E3%81%AE%E6%A3%B2%E3%81%BF%E3%81%8B
