著者__受賞・最終候補作,受賞作,著者名,ISBN10,ImageURL,賞名,Calil
クリス・ウィタカー__われら闇より天を見る,われら闇より天を見る,クリス・ウィタカー,4152101571,https://images-na.ssl-images-amazon.com/images/P/4152101571.09.LZZZZZZZ,2023_本屋大賞_2023年翻訳小説部門1_われら闇より天を見る_クリス・ウィタカー（著）鈴木恵（訳）,https://calil.jp/book/4152101571
田辺聖子__おちくぼ姫,おちくぼ姫,田辺聖子,4167903504,https://images-na.ssl-images-amazon.com/images/P/4167903504.09.LZZZZZZZ,2023_本屋大賞_2023年超発掘本！_おちくぼ姫_田辺聖子,https://calil.jp/book/4167903504
凪良ゆう__汝、星のごとく,汝、星のごとく,凪良ゆう,4065281490,https://images-na.ssl-images-amazon.com/images/P/4065281490.09.LZZZZZZZ,2023_本屋大賞_2023年_汝、星のごとく_凪良ゆう,https://calil.jp/book/4065281490
寺地はるな__川のほとりに立つ者は,川のほとりに立つ者は,寺地はるな,4575245720,https://images-na.ssl-images-amazon.com/images/P/4575245720.09.LZZZZZZZ,2023_本屋大賞_2023年 順位9_川のほとりに立つ者は_寺地はるな,https://calil.jp/book/4575245720
町田そのこ__宙ごはん,宙ごはん,町田そのこ,4093866457,https://images-na.ssl-images-amazon.com/images/P/4093866457.09.LZZZZZZZ,2023_本屋大賞_2023年 順位8_宙ごはん_町田そのこ,https://calil.jp/book/4093866457
青山美智子__月の立つ林で,月の立つ林で,青山美智子,4591175359,https://images-na.ssl-images-amazon.com/images/P/4591175359.09.LZZZZZZZ,2023_本屋大賞_2023年 順位5_月の立つ林で_青山美智子,https://calil.jp/book/4591175359
呉勝浩__爆弾,爆弾,呉勝浩,4065273471,https://images-na.ssl-images-amazon.com/images/P/4065273471.09.LZZZZZZZ,2023_本屋大賞_2023年 順位4_爆弾_呉勝浩,https://calil.jp/book/4065273471
一穂ミチ__光のとこにいてね,光のとこにいてね,一穂ミチ,4163916180,https://images-na.ssl-images-amazon.com/images/P/4163916180.09.LZZZZZZZ,2023_本屋大賞_2023年 順位3_光のとこにいてね_一穂ミチ,https://calil.jp/book/4163916180
安壇美緒__ラブカは静かに弓を持つ,ラブカは静かに弓を持つ,安壇美緒,4087717844,https://images-na.ssl-images-amazon.com/images/P/4087717844.09.LZZZZZZZ,2023_本屋大賞_2023年 順位2_ラブカは静かに弓を持つ_安壇美緒,https://calil.jp/book/4087717844
千早茜__しろがねの葉,しろがねの葉,千早茜,4103341947,https://images-na.ssl-images-amazon.com/images/P/4103341947.09.LZZZZZZZ,2022_直木賞_168回（2022年下半期）_しろがねの葉_千早茜,https://calil.jp/book/4103341947
佐藤厚志__荒地の家族,荒地の家族,佐藤厚志,4103541121,https://images-na.ssl-images-amazon.com/images/P/4103541121.09.LZZZZZZZ,2022_芥川賞_168回（2022年下半期）_荒地の家族_佐藤厚志,https://calil.jp/book/4103541121
井戸川射子__この世の喜びよ,この世の喜びよ,井戸川射子,4065296838,https://images-na.ssl-images-amazon.com/images/P/4065296838.09.LZZZZZZZ,2022_芥川賞_168回（2022年下半期）_この世の喜びよ_井戸川射子,https://calil.jp/book/4065296838
窪美澄__夜に星を放つ,夜に星を放つ,窪美澄,4163915419,https://images-na.ssl-images-amazon.com/images/P/4163915419.09.LZZZZZZZ,2022_直木賞_167回（2022年上半期）_夜に星を放つ_窪美澄,https://calil.jp/book/4163915419
高瀬隼子__おいしいごはんが食べられますように,おいしいごはんが食べられますように,高瀬隼子,4065274095,https://images-na.ssl-images-amazon.com/images/P/4065274095.09.LZZZZZZZ,2022_芥川賞_167回（2022年上半期）_おいしいごはんが食べられますように_高瀬隼子,https://calil.jp/book/4065274095
カズオ・イシグロ__クララとお日さま,クララとお日さま,カズオ・イシグロ,4152100060,https://images-na.ssl-images-amazon.com/images/P/4152100060.09.LZZZZZZZ,2022_本屋大賞_2022年翻訳小説部門3_クララとお日さま_カズオ・イシグロ（著）土屋政雄（訳）,https://calil.jp/book/4152100060
ソン・ウォンピョン__三十の反撃,三十の反撃,ソン・ウォンピョン,4396636121,https://images-na.ssl-images-amazon.com/images/P/4396636121.09.LZZZZZZZ,2022_本屋大賞_2022年翻訳小説部門1_三十の反撃_ソン・ウォンピョン（著）矢島暁子（訳）,https://calil.jp/book/4396636121
吉村昭__破船,破船,吉村昭,4101117187,https://images-na.ssl-images-amazon.com/images/P/4101117187.09.LZZZZZZZ,2022_本屋大賞_2022年超発掘本！_破船_吉村昭,https://calil.jp/book/4101117187
川内有緒__目の見えない白鳥さんとアートを見にいく,目の見えない白鳥さんとアートを見にいく,川内有緒,4797673990,https://images-na.ssl-images-amazon.com/images/P/4797673990.09.LZZZZZZZ,2022_本屋大賞_2022年ノンフィクション部門_目の見えない白鳥さんとアートを見にいく_川内有緒,https://calil.jp/book/4797673990
知念実希人__硝子の塔の殺人,硝子の塔の殺人,知念実希人,440853787X,https://images-na.ssl-images-amazon.com/images/P/440853787X.09.LZZZZZZZ,2022_本屋大賞_2022年 順位8_硝子の塔の殺人_知念実希人,https://calil.jp/book/440853787X
西加奈子__夜が明ける,夜が明ける,西加奈子,4103070439,https://images-na.ssl-images-amazon.com/images/P/4103070439.09.LZZZZZZZ,2022_本屋大賞_2022年 順位6_夜が明ける_西加奈子,https://calil.jp/book/4103070439
朝井リョウ__正欲,正欲,朝井リョウ,4103330635,https://images-na.ssl-images-amazon.com/images/P/4103330635.09.LZZZZZZZ,2022_本屋大賞_2022年 順位4_正欲_朝井リョウ,https://calil.jp/book/4103330635
一穂ミチ__スモールワールズ,スモールワールズ,一穂ミチ,4065222699,https://images-na.ssl-images-amazon.com/images/P/4065222699.09.LZZZZZZZ,2022_本屋大賞_2022年 順位3_スモールワールズ_一穂ミチ,https://calil.jp/book/4065222699
青山美智子__赤と青とエスキース,赤と青とエスキース,青山美智子,4569850642,https://images-na.ssl-images-amazon.com/images/P/4569850642.09.LZZZZZZZ,2022_本屋大賞_2022年 順位2_赤と青とエスキース_青山美智子,https://calil.jp/book/4569850642
町田そのこ__星を掬う,星を掬う,町田そのこ,412005473X,https://images-na.ssl-images-amazon.com/images/P/412005473X.09.LZZZZZZZ,2022_本屋大賞_2022年 順位10_星を掬う_町田そのこ,https://calil.jp/book/412005473X
ジャン＝クロード・グランベール__神さまの貨物,神さまの貨物,ジャン＝クロード・グランベール,4591166635,https://images-na.ssl-images-amazon.com/images/P/4591166635.09.LZZZZZZZ,2021_本屋大賞_2021年翻訳小説部門2_神さまの貨物_ジャン＝クロード・グランベール（著）河野万里子（訳）,https://calil.jp/book/4591166635
みうらじゅん__ない仕事の作り方,ない仕事の作り方,みうらじゅん,4167911663,https://images-na.ssl-images-amazon.com/images/P/4167911663.09.LZZZZZZZ,2021_本屋大賞_2021年超発掘本！_ない仕事の作り方_みうらじゅん,https://calil.jp/book/4167911663
上間陽子__海をあげる,海をあげる,上間陽子,4480815589,https://images-na.ssl-images-amazon.com/images/P/4480815589.09.LZZZZZZZ,2021_本屋大賞_2021年ノンフィクション部門_海をあげる_上間陽子,https://calil.jp/book/4480815589
宇佐見りん__推し、燃ゆ,推し、燃ゆ,宇佐見りん,4309029167,https://images-na.ssl-images-amazon.com/images/P/4309029167.09.LZZZZZZZ,2021_本屋大賞_2021年 順位9_推し、燃ゆ_宇佐見りん,https://calil.jp/book/4309029167
凪良ゆう__滅びの前のシャングリラ,滅びの前のシャングリラ,凪良ゆう,4120053407,https://images-na.ssl-images-amazon.com/images/P/4120053407.09.LZZZZZZZ,2021_本屋大賞_2021年 順位7_滅びの前のシャングリラ_凪良ゆう,https://calil.jp/book/4120053407
伊坂幸太郎__逆ソクラテス,逆ソクラテス,伊坂幸太郎,4087717046,https://images-na.ssl-images-amazon.com/images/P/4087717046.09.LZZZZZZZ,2021_本屋大賞_2021年 順位4_逆ソクラテス_伊坂幸太郎,https://calil.jp/book/4087717046
青山美智子__お探し物は図書室まで,お探し物は図書室まで,青山美智子,4591167984,https://images-na.ssl-images-amazon.com/images/P/4591167984.09.LZZZZZZZ,2021_本屋大賞_2021年 順位2_お探し物は図書室まで_青山美智子,https://calil.jp/book/4591167984
深緑野分__この本を盗む者は,この本を盗む者は,深緑野分,4041092698,https://images-na.ssl-images-amazon.com/images/P/4041092698.09.LZZZZZZZ,2021_本屋大賞_2021年 順位10_この本を盗む者は_深緑野分,https://calil.jp/book/4041092698
桃野雑派__老虎残夢,老虎残夢,桃野雑派,4065245621,https://images-na.ssl-images-amazon.com/images/P/4065245621.09.LZZZZZZZ,2021_江戸川乱歩賞_第67回（2021年度）受賞_老虎残夢_桃野雑派,https://calil.jp/book/4065245621
伏尾美紀__北緯43度のコールドケース,北緯43度のコールドケース,伏尾美紀,4065249961,https://images-na.ssl-images-amazon.com/images/P/4065249961.09.LZZZZZZZ,2021_江戸川乱歩賞_第67回（2021年度）受賞_北緯43度のコールドケース_伏尾美紀,https://calil.jp/book/4065249961
砂川文次__ブラックボックス,ブラックボックス,砂川文次,406527365X,https://images-na.ssl-images-amazon.com/images/P/406527365X.09.LZZZZZZZ,2021_芥川賞_166回（2021年下半期）_ブラックボックス_砂川文次,https://calil.jp/book/406527365X
李琴峰__彼岸花が咲く島,彼岸花が咲く島,李琴峰,4163913904,https://images-na.ssl-images-amazon.com/images/P/4163913904.09.LZZZZZZZ,2021_芥川賞_165回（2021年上半期）_彼岸花が咲く島_李琴峰,https://calil.jp/book/4163913904
石沢麻依__貝に続く場所にて,貝に続く場所にて,石沢麻依,406524188X,https://images-na.ssl-images-amazon.com/images/P/406524188X.09.LZZZZZZZ,2021_芥川賞_165回（2021年上半期）_貝に続く場所にて_石沢麻依,https://calil.jp/book/406524188X
早見和真__ザ・ロイヤルファミリー,ザ・ロイヤルファミリー,早見和真,4103361522,https://images-na.ssl-images-amazon.com/images/P/4103361522.09.LZZZZZZZ,2020_山本周五郎賞_第33回（2020年）受賞_ザ・ロイヤルファミリー_早見和真,https://calil.jp/book/4103361522
佐野広実__わたしが消える,わたしが消える,佐野広実,4065211204,https://images-na.ssl-images-amazon.com/images/P/4065211204.09.LZZZZZZZ,2020_江戸川乱歩賞_第66回（2020年度）受賞_わたしが消える_佐野広実,https://calil.jp/book/4065211204
遠野遥__破局,破局,遠野遥,4309029051,https://images-na.ssl-images-amazon.com/images/P/4309029051.09.LZZZZZZZ,2020_芥川賞_163回（2020年上半期）_破局_遠野遥,https://calil.jp/book/4309029051
高山羽根子__首里の馬,首里の馬,高山羽根子,4103533811,https://images-na.ssl-images-amazon.com/images/P/4103533811.09.LZZZZZZZ,2020_芥川賞_163回（2020年上半期）_首里の馬_高山羽根子,https://calil.jp/book/4103533811
神護かずみ__ノワールをまとう女,ノワールをまとう女,神護かずみ,4065170974,https://images-na.ssl-images-amazon.com/images/P/4065170974.09.LZZZZZZZ,2019_江戸川乱歩賞_第65回（2019年度）受賞_ノワールをまとう女_神護かずみ,https://calil.jp/book/4065170974
古川真人__背高泡立草,背高泡立草,古川真人,4087717100,https://images-na.ssl-images-amazon.com/images/P/4087717100.09.LZZZZZZZ,2019_芥川賞_162回（2019年下半期）_背高泡立草_古川真人,https://calil.jp/book/4087717100
今村夏子__むらさきのスカートの女,むらさきのスカートの女,今村夏子,402265046X,https://images-na.ssl-images-amazon.com/images/P/402265046X.09.LZZZZZZZ,2019_芥川賞_161回（2019年上半期）_むらさきのスカートの女_今村夏子,https://calil.jp/book/402265046X
斉藤詠一__到達不能極,到達不能極,斉藤詠一,4065130603,https://images-na.ssl-images-amazon.com/images/P/4065130603.09.LZZZZZZZ,2018_江戸川乱歩賞_第64回（2018年度）受賞_到達不能極_斉藤詠一,https://calil.jp/book/4065130603
上田岳弘__ニムロッド,ニムロッド,上田岳弘,4065143470,https://images-na.ssl-images-amazon.com/images/P/4065143470.09.LZZZZZZZ,2018_芥川賞_160回（2018年下半期）_ニムロッド_上田岳弘,https://calil.jp/book/4065143470
町屋良平__1R1分34秒,1R1分34秒,町屋良平,4103522712,https://images-na.ssl-images-amazon.com/images/P/4103522712.09.LZZZZZZZ,2018_芥川賞_160回（2018年下半期）_1R1分34秒_町屋良平,https://calil.jp/book/4103522712
高橋弘希__送り火,送り火,高橋弘希,4163908730,https://images-na.ssl-images-amazon.com/images/P/4163908730.09.LZZZZZZZ,2018_芥川賞_159回（2018年上半期）_送り火_高橋弘希,https://calil.jp/book/4163908730
佐藤多佳子__明るい夜に出かけて,明るい夜に出かけて,佐藤多佳子,4104190047,https://images-na.ssl-images-amazon.com/images/P/4104190047.09.LZZZZZZZ,2017_山本周五郎賞_第30回（2017年）受賞_明るい夜に出かけて_佐藤多佳子,https://calil.jp/book/4104190047
石井遊佳__百年泥,百年泥,石井遊佳,4103515317,https://images-na.ssl-images-amazon.com/images/P/4103515317.09.LZZZZZZZ,2017_芥川賞_158回（2017年下半期）_百年泥_石井遊佳,https://calil.jp/book/4103515317
若竹千佐子__おらおらでひとりいぐも,おらおらでひとりいぐも,若竹千佐子,4309026370,https://images-na.ssl-images-amazon.com/images/P/4309026370.09.LZZZZZZZ,2017_芥川賞_158回（2017年下半期）_おらおらでひとりいぐも_若竹千佐子,https://calil.jp/book/4309026370
沼田真佑__影裏,影裏,沼田真佑,4163907289,https://images-na.ssl-images-amazon.com/images/P/4163907289.09.LZZZZZZZ,2017_芥川賞_157回（2017年上半期）_影裏_沼田真佑,https://calil.jp/book/4163907289
湊かなえ__ユートピア,ユートピア,湊かなえ,4087716376,https://images-na.ssl-images-amazon.com/images/P/4087716376.09.LZZZZZZZ,2016_山本周五郎賞_第29回（2016年）受賞_ユートピア_湊かなえ,https://calil.jp/book/4087716376
佐藤究__QJKJQ,QJKJQ,佐藤究,4062202190,https://images-na.ssl-images-amazon.com/images/P/4062202190.09.LZZZZZZZ,2016_江戸川乱歩賞_第62回（2016年度）受賞_QJKJQ_佐藤究,https://calil.jp/book/4062202190
山下澄人__しんせかい,しんせかい,山下澄人,4103503610,https://images-na.ssl-images-amazon.com/images/P/4103503610.09.LZZZZZZZ,2016_芥川賞_156回（2016年下半期）_しんせかい_山下澄人,https://calil.jp/book/4103503610
村田沙耶香__コンビニ人間,コンビニ人間,村田沙耶香,4163906185,https://images-na.ssl-images-amazon.com/images/P/4163906185.09.LZZZZZZZ,2016_芥川賞_155回（2016年上半期）_コンビニ人間_村田沙耶香,https://calil.jp/book/4163906185
上橋菜穂子__鹿の王,鹿の王,上橋菜穂子,4041018889,https://images-na.ssl-images-amazon.com/images/P/4041018889.09.LZZZZZZZ,2015_本屋大賞_2015年_鹿の王_上橋菜穂子,https://calil.jp/book/4041018889
呉勝浩__道徳の時間,道徳の時間,呉勝浩,4062196670,https://images-na.ssl-images-amazon.com/images/P/4062196670.09.LZZZZZZZ,2015_江戸川乱歩賞_第61回（2015年度）受賞_道徳の時間_呉勝浩,https://calil.jp/book/4062196670
滝口悠生__死んでいない者,死んでいない者,滝口悠生,4163904123,https://images-na.ssl-images-amazon.com/images/P/4163904123.09.LZZZZZZZ,2015_芥川賞_154回（2015年下半期）_死んでいない者_滝口悠生,https://calil.jp/book/4163904123
